,blobs,ideology,title
48,mr trumpyou said infrastructure jobs keystone administration spoke silicon valley leaders praised innovation said anything help go along wexre going talks japanese prime minster abe cited high speed rail technology could create prosperity thousands us jobsshovelready transportation projects would put americans work good manufacturing infrastructure jobs xcaltrain electrification would support americans california states including utah virginia pennsylvania fta approve million funding caltrain electrification,Liberal,"support , american jobs: tell the fta to approve funding for caltrain electrification."
49,important millions driving licence holders dangerously directed misleading incomplete road signage prosecuted convicted illegally unlawfully police courts petition required get action public support complaints far failed obstructed completely denied disregarded traffic enforcement devices installed used lawfully required regulations extensive investigations research historic media records fully support evidence compiled website wwwbentcopbiz wwwbentcopboardsnet believe findings reflect global picture serious issue covered legal sector police authorities,Liberal,road traffic enforcement has been carried out unlawfully. this needs to be corrected and the public informed.
50,states nation making absurd gun laws affect law abiding citizens criminals propose president donald trump sign executive order remove state gun control laws replace universal gun laws federal government make laws states page keep laws keep guns hands criminals background checks remove laws go guns look certain way ammo capacity right bare arms given us god almighty adopted constitution god bless america,Conservative,nd amendment  rights restored to all law abiding citizens
51,state north carolina economic growth development shrimping industry commission fisheries vote major trickle affect north carolina unemployment statistics overall economic environment state affect commercial shrimper affect processors fish houses breaders trucking banking restaurants list goes essentially closing billion dollar industry state petition keep economy moving north carolina industry puts new money economy every year stand committee members majority voted regulation stop committee members changing entire workforce much power men,Neutral,north carolina commercial shrimping industry crisis - economy &amp; employment
52,petition important people effects would give identity form legal recognition would benefit literally tens thousands people united states government recognized us real legitimate active thing united internet discovered true selves truek e k n e shaliday get top kek,Conservative,"recognize ""kekistanians"" or ""keks"" as an official ethnic group"
53,trump administration connections russia suggested recent resignation general flynn people united states need know congress needs take steps deal,Liberal,investigate the trump administration's russia connections
54,citing ica fbiciansa findings russia directly without precedent interfered us election ties current white house administration undersigned american people demand donald j trump removed office election results nullified upon investigations conclusion donald trump video evidence encouraged russia interfere election top officials communicating russian intelligence officials engaged treason crime country people alone crime requiring removal office president via impeachment process,Liberal,we the people want a open and independent investigation into the russia scandal up to and including impeachment.
55,congress needs address house resolution introduced congressman alcee hastings dogsampcats sadistically intentionally tortured everyday feel fearamppain belief makes meat tendertaste betterampgives men sexual stamina ways includethrown boiling waterhungampreleased repeatedlyblowtorchedskinnedelectrocuted anallyamporallyfeet cut prevent escape throats sliced openthe entire time victims still alive feel pets stolen loving familiesampsome even found tortured death still wearing collarsthis done front young children grow thinking itxs normalthis type behavior goes beyond realm normal human beingxs mind end,Neutral,congress needs to act on congressman alcee hasting's house resolution  condemning the yulin dog meat festival
56,economics higher education crisis tuitions soaringwith increases college school costs outpacing inflation students exitingcollege graduate school indebted ever hastransformed student loans largest source consumer indebtednessafter mortgages make matters worse comes value higher education called question returns sinking tuitions indebtedness defaults surging need higher education financial reform pressing students unlikely able repay ? bankruptcy code exacerbates effects burdensome debt allowing private federal student loans discharged upon showing undue hardship please sign petition,Liberal,repeal  usc § (a)()
57,president violates title nobility clause explained article section united states constitutionthe clause states title nobility shall granted united states person holding office profit trust shall without consent congress accept present emolument office title kind whatever king prince foreign statedonald trump known financial ties russia owes hundreds millions dollars debt banks foreign countries china complicated business entanglements create conflict interest national security issues american people deserve see tax returns donald trump needs impeached president united states,Liberal,"impeach: the president violates the title of nobility clause, as explained in article i, section  of the constitution."
58,deeming regulations instituted food drug administration without act congress outside purview powers original mandate regulations nothing attempt kill industry painted evil simultaneously pay cost swelling bureaucracy fda importantly violation personal freedom chose partake cigars pipes petition president truly people steadfast promise cut regulation protect personal freedoms citizens united states take action unconstitutional regulations,Conservative,prevent the fda from taking further actions on the deeming regulations regarding pipes and cigars.
59,january st open session california state senate senate pro tem kevin de leon admitted record half family would eligible deportation state senator de leon went state illegally obtaining fraudulent documents committing identity theft acceptable need survive workwe ask us congress us attorney general open investigation state senator kevin de leon criminal malfeasance aiding abetting criminal activityour leaders encourage actively support illegal activity must held accountable fail uphold public trust violate lawhere de leons words,Conservative,ask u.s. congress and us attorney general to investigate ca senate pro tem kevin de leon
60,joy villa really brave thing wearing make america great dress grammys love country try unite country think president trump consider letting sing maga,Conservative,joy villa to sing for president trump wearing her grammy awards dress (make america great again)
61,thrift savings plan tsp changed policy concerning interfund transfers ifts unlimited trades two trades although allowing final trade g fund policy prevents government employees military members control retirement account policy needs amended allow free ifts per month always allowing last free ift g fund additional ifts ifts allowed fee commensurate industry standards give back government employees military members control retirement account money,Neutral,allow  free interfund transfers a month in the thrift savings plan
62,women experience physical violence intimate partner lifetime according cdc incoming trump administration wants cut funding violence women act grants funding domestic violence programs already significantly insufficient annual census conducted national network end domestic violence found inquiries domestic violence services could fulfilled due lack resources resources include helping victims attain safe shelter legal services transportation assistance child care reducing access vawa grants lead poorer outcomes survivors including increased fatalities please stand protecting women country,Liberal,do not cut violence against women act funding
63,hospitalsphysicians required report food allergy statistics state andor government database therefore dangerous irresponsible person physician organization declare specific food allergies rare eg corn result state fda representative encouraged track statistics one many corn allergy groups sample population following monthend corn allergy growth statistics selected group indicative emerging corn allergy crisisjanuary corn allergy statistics one corn allergy group members anaphylactic corn requiring use epipens increase corn allergies last mos,Liberal,urgent appeal to congress to declare corn an official allergen
64,effects constitutional rights legal gun owners state new jersey state new jersey banned following items magazines based capacity barrels based length nothing shorter inches shotguns inches stocks furniture fold telescope underfold bayonet lugs pistol grips semi auto shotguns muzzle devices compensators flash hiders silencers list scary items goes state new jersey also made impossible legal gun owners obtain concealed carry permit based brash terminology justifiably need state consider peoples right defend family home important enough require ccw violation nd ammendment,Conservative,"repeal all unconstitutional gun laws in the state of new jersey. laws banning mag capacity, stocks, barrel length etc"
65,president obama made decision tear inactive oil gas platforms gulf mexico immediately executive order titled quotidle ironquot ignorant uninformed decision single executive order destroyed almost greatest artificial reef system ever created threatens destroy man made reef systems gulf hundreds thousands fish marine animals wastefully killed process eventually entire gulf ecosystem destroyed due one executive order coral reefs provide habitat marine fish animals blown removed gulf every year due falsely perceived environmental threat please support petition end idle iron,Liberal,"hault the exective ordered destruction of marine habitat by ending ""idle iron"""
66,order ensure legitimate interests pr us congress recognize pr sovereign nation consistent article iv section constitution congress power dispose make needful rules regulations respecting pr prxs territorial condition constitutes unsustainable status political subordination contradicts principles american democracy annexation pr state would detrimental pr us mention congress shown interest annexing pr majority voters rejected continuation territorial status referendum political status pr held pr peopletherefore ask presidency urge congress start process independence pr,Neutral,to recognize puerto ricoxs sovereign nationhood under independence and provide for a transition process.
67,please repeal executive order banned importation common sporting rifles united states russia,Conservative,repeal the russian arms importation ban (executive order )
68,ambassador baily clearly meddling imposing self interests internal politics country also personally responsible inadequate outsourcing us tax payers money trough usaid funds time putting money hands george soros ngos disregarding basic democratic tendencies rights,Neutral,"remove from office jess l. baily, united states ambassador to the republic of macedonia"
69,unconstitutional ban hurts nobody law abiding citizens maintain proper care firearms nationally xassault weaponsx used crimes involving firearms violent crime enactment national state xassault weaponsx ban first years since federal ban lifted murders declined violent crime rapes robberies lifting unconstitutional ban make people safer protect nd amendment rights law abiding citizens united states america,Conservative,"repeal the unconstitutional  ""assault rifle"" ban in massachusetts by ag maura healy, a violation of the nd amendment"
70,remove nd amendment restrictive executive orders george hw bush bill clinton barack obama modernize sporting purpose include modern firearms ammunition purposes gun competitions force removal ban popular ammunition x n atf declared armor piercing years sale market halting attempt ban similarly designed ammunition used us military us shooters everywhere x orders actions designed gut elevate cost freedoms enjoyed shooters collectors people seeking enjoy right,Conservative,"remove nd amendment eo's, modernize the sporting purpose and remove atf determination on n ammunition."
71,facebook long history violating free speech conservatives putting facebook jail smallest perceived violations leftists allowed free reign post anything wish including threats assassination political figures police murder conservative pornography graphic depictions violence regularly discriminate christians yet belief systemswe people ask house committee investigate violations apply necessary sanctions fines upon facebook ensure free speech mark zuckerbergs minions,Conservative,investigate facebook for civil rights violations of conservative americans
72,secretary state clinton direct violation agreement united states american outlined standard form section sent classified information outside server classification needed keep information sending secure actions created major security violation could potentially used enemies state petition used reverse fbi decision hrc charged aforementioned charges along others outlined sf edit also due recent reports intentionally used unsecure server scapegoat blaming nation russia hacking private server server encrypted potential hacking,Conservative,"charge hillary rodham clinton pursuant to  u.s.c , , , , , and "
73,kellyanne conway deceitful dishonest incompetent unethical great disservice president white house country american people therefore firedshe clearly demonstrated harm good nation invented alternative facts made bowling green massacre never happened promoted lie public times mostly recently broke law promoting ivanka trumps clothing line national tv signing petition agreeing fired replaced someone qualified honest credibility upstanding character represent president white house people reputation usa world watching,Liberal,kellyanne conway should be fired and replaced immediately.
74,president united states donald j trump smart also dedicated security country also believes appeals court wrong stay executive order immigration seven muslimmajority countries intends argued supreme court name security people ask donald j trump forgo use lawyers represent executive order pro se arguing supreme court behalf american security benefit maximum smartness,Liberal,make the president of the united states represent his executive order on immigration pro se before the supreme court
75,russias unprecedented actions interfering presidential elections cause alarm americans white house must maintain sanctions ordered president obama december well significantly increase united states must send clear message world tolerate foreign interference sacred democratic process,Liberal,maintain and expand sanctions against russia.
76,civil forfeiture allows police seize x keep sell x property allege involved crime owners need ever arrested convicted crime cash cars even real estate taken away permanently governmentforfeiture originally presented way cripple largescale criminal enterprises diverting resources today aided deeply flawed federal state laws many police departments use forfeiture benefit bottom lines making seizures motivated profit rather crimefighting,Neutral,end civil asset forfeiture - a form of state sponsored theft that violates citizens due process rights.
77,unnecessary unscientific regulation biotechnology country harmed farmers innovation small businesses wexve seen large corporations pull back bringing products market countless millions dollars need spend cut bureaucracy innovative foods like allergen free peanuts droughtresistant wheat either delayed never reach marketplace many nations world rely us food aid could save billions could grow genetically engineered seeds rather relying us aid united states beacon hope biotech innovation letxs deregulate use genetic engineering breeding method restore hope,Conservative,deregulate bioengineered crops
78,communities northern california historically felt right equal representation withheld culture political climate north south california different considered people represented please help us reach goal establishing fair accurate republic citizens,Neutral,consider the proposal for the state of jefferson to be given sovereignty in the union.
79,days treatment set failure curing helping anyone suffers addiction small term treatment revolving door also help anyone suffers mental illness addiction levels leave facility withdrawing medications use taper street drugs setting people addiction failure costing us many lifes also waste millions dollars procedures protocols also dated us death toll risen past years growing control people suffer mental illness addiction chances overcome need days treatment state insurance free care across united states immediately,Neutral, to days treatment is a proven failure. we need this treatment to be started at  days. for all who suffer addiction.
80,since us dept education created president carter american people spent money education increase academic achievement education us pre best world held position decades federal government started interfering started experience downgrade top academic place world president reagan elected promise abolish department misled trusted wrong people promise never realized time right us shut department return american education control local education areas parents please show support hr sign petition,Conservative,support representative thomas massie's bill (hr) to end the us department of education
81,american citizens amp voters dismayed defense secretary jim mattis statement japan february statement defending japanxs illegal claim diaoyutai islands totally wrong asking correct wrongful policy right away donxt want waste taxpayersx money defend japanxs illegal claim diaoyutai islands belonged china six hundred years united states illegally handed islands japan japan illegally claims territory islands located kilometers away china amp kilometers japan old saying goes two wrongs make right rationale applies two illegal acts make legal please correct policy thanks,Neutral,"diaoyutai  islands have belonged to china, not japan.  please correct the policy."
82,president trump made extensive use twitter presidency disturbing ways tweets times embarrassing country unbecoming office president united states used governments official potus account lobby business interests times insulted officials federal governmentmost disturbing fact presidents social media addiction distracted performing important official duties monitoring important military actions ordered attending daily intelligence briefings sake national security president prevented using directly indirectly social media remainder term,Liberal,confiscate all social media accounts of president donald trump and prohibit further use.
83,veterinarians currently encourage pet owners revaccinate pets year requesting congress mandate veterinarian colleges educate vets require titer tests prior revaccinations pets completed first series puppy vaccines canine immunologists provided documentation substantiate dogs given first year shots lifetime immunities thereafter epidemic dogs acquiring immune mediated diseases due practice caused much pain suffering pets mention financial expense trying save lives opinion form animal cruelty cause suffering stopped education law,Neutral,annual titer tests required in lieu of re-vaccination of our pets
84,ayden rae foundation dedicated saving lives one day helping eradicate hyperemesis gravidarum hg dearest president donald j trump united states congresswe people petition united states congress make hyperemesis gravidarum hg national priorityfighting hyperemesis gravidarum togetherdo part still time sign save babies mothers suffer hyperemesis gravidarumto congress united stateshyperemesis gravidarum hg severe form nausea vomiting pregnancy lead dehydration severe malnutrition electrolyte imbalance fatal mother unborn children,Neutral,hyperemesis gravidarum (hg) must become a priority!
85,september years investigation robert dekelaita prominent immigration attorney indicted allegedly conspiring obtain asylum handful iraqi christians may jury convicted robert counts however matter held robertxs attorneys filed motion judgment acquittal reverse conviction strongly feel unjust improper law kindly request case immediately dismissed angered offended extreme efforts directed toward iraqi syrian christians quite clear endured nothing less genocide us government recently officially admitted,Neutral,drop the unprecedented &amp; unjust federal case against mr. dekelaita and the iraqi and syrian christian american community
